time	open	high	low	close	tick_volume	spread	real_volume	short_ma	long_ma	signal
2021-12-27 12:00:00	1806.46	1809.2	1802.92	1808.52	11940	5	0	1807.909	1793.3882	1
2021-12-27 16:00:00	1808.69	1813.47	1807.35	1808.22	21370	5	0	1808.023	1793.8772	1
2021-12-27 20:00:00	1808.22	1812.59	1806.7	1811.82	7976	5	0	1808.589	1794.6678	1
2021-12-28 00:00:00	1811.55	1812.52	1809.5	1810.11	5249	8	0	1808.895	1795.4186	1
2021-12-28 04:00:00	1810.09	1813.6	1808.44	1812.9	6880	5	0	1809.453	1796.265	1
2021-12-28 08:00:00	1812.89	1816.05	1812.37	1815.24	9329	5	0	1810.143	1797.115	1
2021-12-28 12:00:00	1815.23	1820.18	1815.15	1817.84	12623	5	0	1811.1509999999998	1798.0848	1
2021-12-28 16:00:00	1817.86	1818.51	1809.36	1810.46	21718	5	0	1811.1170000000002	1798.9026	1
2021-12-28 20:00:00	1810.42	1811.32	1805.05	1806.13	9650	5	0	1810.77	1799.5848	1
2021-12-29 00:00:00	1806.56	1807.11	1804.04	1805.77	6280	5	0	1810.7009999999998	1800.3864	1
2021-12-29 04:00:00	1805.75	1807.71	1804.85	1806.69	7392	5	0	1810.518	1800.9784	1
2021-12-29 08:00:00	1806.7	1807.37	1802.15	1802.76	9787	5	0	1809.9720000000002	1801.3802000000003	1
2021-12-29 12:00:00	1802.79	1802.79	1789.47	1789.93	19410	5	0	1807.7830000000001	1801.5059999999999	1
2021-12-29 16:00:00	1789.91	1804.68	1789.59	1803.98	23323	5	0	1807.17	1801.8738	1
2021-12-29 20:00:00	1804.06	1805.72	1802.22	1803.9	8430	5	0	1806.27	1802.1704	1
2021-12-30 00:00:00	1803.71	1805.58	1801.02	1803.31	6256	8	0	1805.077	1802.2910000000002	1
2021-12-30 04:00:00	1803.24	1803.68	1798.25	1798.5	8078	5	0	1803.143	1802.2806	1
2021-12-30 08:00:00	1798.52	1802.04	1796.12	1799.95	11027	5	0	1802.092	1802.233	-1
2021-12-30 12:00:00	1799.94	1804.73	1798.83	1802.74	13701	5	0	1801.753	1802.1866	-1
2021-12-30 16:00:00	1802.74	1814.24	1800.88	1813.51	23405	5	0	1802.527	1802.3222	1
2021-12-30 20:00:00	1813.52	1817.21	1812.85	1815.08	8826	5	0	1803.366	1802.4869999999999	1
2021-12-31 00:00:00	1814.64	1818.9	1814.2	1816.44	5002	7	0	1804.734	1802.7186	1
2021-12-31 04:00:00	1816.46	1819.19	1814.57	1818.51	6211	8	0	1807.592	1803.1291999999999	1
2021-12-31 08:00:00	1818.51	1820.12	1815.08	1818.06	8244	5	0	1809.0	1803.4682	1
2021-12-31 12:00:00	1818.06	1827.47	1817.91	1824.31	12676	5	0	1811.041	1803.8954	1
2021-12-31 16:00:00	1824.31	1827.45	1820.26	1826.55	22833	5	0	1813.3650000000002	1804.4315999999997	1
2021-12-31 20:00:00	1826.57	1828.57	1824.72	1828.27	4106	5	0	1816.3419999999999	1805.07	1
2022-01-03 00:00:00	1830.63	1831.82	1827.0	1828.89	6592	5	0	1819.236	1805.751	1
2022-01-03 04:00:00	1828.86	1828.96	1823.72	1825.45	6629	5	0	1821.507	1806.454	1
